SOAcondition,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
negative,1,1050,add,2,680,large,9_7_add_true.jpg,143,TRUE,1680,-0.051156948,-0.063537479,0,360
negative,1,1050,add,2,683,small,3_6_add_true.jpg,129,TRUE,1680,0.137444708,0.115349607,0,220
neutral,1,1050,mult,2,684,large,6_8_mult_true.jpg,129,TRUE,1680,-0.063090138,-0.026679044,0,280
negative,1,1050,mult,2,685,large,6_8_mult_true.jpg,105,TRUE,1680,0.148942115,0.064902693,0,60
neutral,1,1050,add,2,686,small,3_6_add_true.jpg,129,TRUE,1680,-0.077023453,-0.088511869,0,440
neutral,1,1050,add,1,687,small,8_2_add_true.jpg,104,TRUE,1680,0.724043805,0.809232798,1,340
negative,1,1050,add,2,687,large,6_8_add_true.jpg,105,TRUE,1680,-0.2521939,-0.304314567,0,280
negative,1,1050,mult,2,687,small,5_3_mult_true.jpg,121,TRUE,1680,0.408441261,0.388475648,0,100
negative,1,1050,add,1,689,large,4_9_add_FI.jpg,129,FALSE,1680,0.402771277,0.43719251,0,140
negative,1,1050,mult,1,690,large,6_8_mult_FI.jpg,127,FALSE,1680,0.285241632,0.320000508,0,40
negative,1,1050,add,2,691,small,3_6_add_true.jpg,129,TRUE,1680,0.529323455,0.354470836,0,80
neutral,1,1050,mult,1,692,small,3_6_mult_true.jpg,108,TRUE,1680,0.138071995,0.141123303,0,40
negative,1,1050,add,1,693,large,9_7_add_true.jpg,104,TRUE,1680,1.659366146,2.062561461,0,280
neutral,1,1050,mult,2,693,large,8_4_mult_FNI.jpg,140,FALSE,1680,-0.297696862,-0.359192396,0,40
negative,1,1050,mult,2,694,small,5_3_mult_FNI.jpg,104,FALSE,1680,-0.205529958,-0.287010264,0,440
neutral,1,1050,add,1,694,small,8_2_add_true.jpg,104,TRUE,1680,0.626334471,0.245848145,0,360
negative,1,1050,mult,2,695,large,8_4_mult_true.jpg,129,TRUE,1680,0.097060802,0.085022493,0,340
negative,1,1050,mult,2,696,large,4_9_mult_true.jpg,129,TRUE,1680,0.115119845,0.100491752,0,320
negative,1,1050,add,2,697,small,2_7_add_true.jpg,129,TRUE,1680,0.670376922,0.576233301,0,320
neutral,1,1050,mult,2,697,small,8_2_mult_true.jpg,129,TRUE,1680,-0.06110053,-0.005577194,0,400
negative,1,1050,mult,1,698,small,8_2_mult_true.jpg,104,TRUE,1680,0.188142433,0.229589176,0,380
neutral,1,1050,add,1,698,large,6_8_add_true.jpg,126,TRUE,1680,-0.090815903,-0.12600474,0,360
neutral,1,1050,add,1,699,small,2_7_add_true.jpg,104,TRUE,1680,-0.143578763,-0.194054806,0,460
negative,1,1050,add,1,699,small,5_3_add_FNI.jpg,129,FALSE,1680,0.482890187,0.506716902,0,40
negative,1,1050,mult,1,699,large,9_7_mult_true.jpg,152,TRUE,1680,0.447394659,0.556257601,0,40
neutral,1,1050,add,1,700,small,8_2_add_true.jpg,104,TRUE,1680,0.942779451,1.0837127,0,320
negative,1,1050,mult,2,700,large,4_9_mult_FNI.jpg,104,FALSE,1680,-0.455498389,-0.39354678,0,40
neutral,1,1050,mult,1,701,large,8_4_mult_true.jpg,104,TRUE,1680,0.38755532,0.30820963,0,340
negative,1,1050,mult,2,702,large,6_8_mult_true.jpg,143,TRUE,1680,0.164920674,0.178778344,0,260
negative,1,1050,mult,2,703,large,9_7_mult_true.jpg,143,TRUE,1680,0.229879625,0.219464443,0,340
neutral,1,1050,add,1,706,small,3_6_add_true.jpg,108,TRUE,1680,-0.23580012,-0.217148234,0,60
negative,1,1050,add,2,706,small,5_3_add_true.jpg,109,TRUE,1680,0.415086661,0.283456422,0,40
negative,1,1050,mult,2,706,large,6_8_mult_true.jpg,129,TRUE,1680,0.343079106,0.287462822,0,40
negative,1,1050,mult,1,708,large,9_7_mult_true.jpg,104,TRUE,1680,0.096568272,0.116745436,0,260
negative,1,1050,add,1,708,small,2_7_add_true.jpg,112,TRUE,1680,-0.111534868,-0.043192284,0,240
negative,1,1050,mult,2,709,small,5_3_mult_true.jpg,109,TRUE,1680,0.603669181,0.629021051,0,140
neutral,1,1050,add,2,709,large,4_9_add_true.jpg,143,TRUE,1680,0.126019794,0.091953996,0,280
neutral,1,1050,mult,1,710,large,4_9_mult_true.jpg,108,TRUE,1680,0.454092678,0.399980767,0,60
negative,1,1050,add,1,711,large,8_4_add_true.jpg,104,TRUE,1680,0.10104616,0.058314588,0,60
negative,1,1050,mult,2,711,small,2_7_mult_true.jpg,129,TRUE,1680,0.142893032,0.124239376,0,40
neutral,1,1050,add,2,712,large,6_8_add_true.jpg,143,TRUE,1680,0.143301775,0.161784874,0,340
negative,1,1050,add,1,713,small,8_2_add_true.jpg,146,TRUE,1680,0.05888926,0.009467017,0,380
negative,1,1050,add,2,716,small,5_3_add_FNI.jpg,104,FALSE,1680,1.165612416,1.183605155,0,380
neutral,1,1050,add,2,716,small,8_2_add_true.jpg,129,TRUE,1680,0.102166298,0.02967977,0,420
neutral,1,1050,mult,1,718,small,3_6_mult_true.jpg,104,TRUE,1680,0.684880289,0.802832018,0,360
negative,1,1050,mult,1,718,small,3_6_mult_true.jpg,104,TRUE,1680,0.15755895,0.06915868,0,460
neutral,1,1050,mult,2,718,large,9_7_mult_true.jpg,143,TRUE,1680,0.032186895,-0.012528541,0,340
neutral,1,1050,add,1,720,large,8_4_add_true.jpg,140,TRUE,1680,-0.128748034,-0.12594039,0,40
neutral,1,1050,add,1,720,large,4_9_add_FI.jpg,143,FALSE,1680,-0.11692852,-0.132742152,0,180
neutral,1,1050,mult,2,721,large,6_8_mult_FNI.jpg,104,FALSE,1680,-0.188988209,-0.134639596,0,460
negative,1,1050,mult,2,722,small,2_7_mult_FNI.jpg,108,FALSE,1680,-0.663164115,-0.008842521,0,320
negative,1,1050,add,2,722,large,6_8_add_true.jpg,143,TRUE,1680,-0.117473862,-0.130096736,0,460
neutral,1,1050,mult,1,723,large,8_4_mult_true.jpg,104,TRUE,1680,0.12846919,0.075503155,0,400
negative,1,1050,add,2,723,small,8_2_add_true.jpg,129,TRUE,1680,0.53555043,0.598189735,0,100
neutral,1,1050,add,2,725,small,8_2_add_true.jpg,129,TRUE,1680,0.853509492,0.851960882,0,220
negative,1,1050,add,1,726,large,8_4_add_true.jpg,104,TRUE,1680,0.202189563,0.256394376,1,460
negative,1,1050,add,2,727,large,8_4_add_true.jpg,143,TRUE,1680,0.084931879,0.038425873,0,400
negative,1,1050,add,2,728,large,8_4_add_true.jpg,129,TRUE,1680,0.442744781,0.508549868,0,40
negative,1,1050,add,2,728,small,8_2_add_true.jpg,139,TRUE,1680,1.07255018,0.682912153,1,40
negative,1,1050,add,1,729,large,8_4_add_true.jpg,108,TRUE,1680,0.43476495,0.49386472,0,40
negative,1,1050,add,2,729,small,2_7_add_true.jpg,127,TRUE,1680,-0.311580714,-0.297644575,0,320
negative,1,1050,add,1,729,large,4_9_add_FI.jpg,143,FALSE,1680,0.156393131,0.130399447,0,120
negative,1,1050,mult,2,731,small,5_3_mult_FI.jpg,104,FALSE,1680,-0.103507835,0.011070656,0,260
